time_utc,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2019-01-01,3.952,2.27,2.144,14.77,4.118,1.934,0.23,0.608,8.841,4.537,3.324,1.124,10.153,6.459,2.608,2.172,9.09,3.598,2.121,0.335,8.305,4.528,3.12,2.918,0.714,3.47,0.635,1.566,0.368,5.466,1.542,1.981,10.449,8.743,4.561,2.144,9.403,0.603,1.972,0.686,2.759,24.247,2.269,4.409,0.126,2.655,4.801,0.702,0.757
2019-01-02,4.056,2.292,2.042,14.809,3.868,2.104,0.268,0.627,8.654,4.987,3.33,1.107,10.224,6.631,2.474,2.349,9.067,4.113,2.333,0.356,8.754,4.478,3.078,2.979,0.652,3.836,0.584,1.464,0.382,6.136,1.555,1.972,11.643,9.439,4.505,2.099,10.024,0.632,2.003,0.648,3.118,24.207,2.255,4.691,0.144,2.618,4.875,0.756,0.722
2019-01-03,4.102,2.265,2.112,14.718,3.654,2.031,0.261,0.628,8.833,4.949,3.199,1.08,10.477,6.742,2.313,2.433,9.151,3.911,2.303,0.353,8.425,4.109,2.988,3.015,0.623,3.832,0.547,1.358,0.379,5.854,1.574,1.98,10.964,9.525,4.443,2.042,9.944,0.625,2.039,0.604,3.124,24.311,2.211,4.679,0.134,2.506,4.857,0.774,0.7
2019-01-04,3.999,2.218,2.195,14.276,3.375,2.042,0.274,0.624,8.791,4.788,3.062,1.031,9.921,6.599,2.177,3.209,9.13,3.843,2.36,0.342,8.106,3.873,2.836,2.947,0.609,3.793,0.538,1.293,0.372,6.032,1.522,1.939,11.162,9.287,4.342,1.993,9.958,0.619,2.02,0.586,2.939,24.041,2.087,4.721,0.129,2.439,4.557,0.764,0.684
2019-01-05,3.852,2.067,2.3,13.554,3.146,1.873,0.237,0.58,8.134,4.919,2.864,0.975,9.336,6.158,2.021,2.193,8.629,3.527,2.111,0.316,7.694,3.617,2.552,2.814,0.593,3.523,0.52,1.215,0.347,5.43,1.431,1.886,10.205,8.594,4.123,1.91,9.122,0.576,1.965,0.561,2.899,22.971,1.952,4.29,0.118,2.396,4.3,0.689,0.657
2019-01-06,3.679,1.929,2.334,12.867,3.056,1.873,0.24,0.569,6.655,4.691,2.78,0.916,8.871,5.949,1.913,2.081,8.287,3.548,2.102,0.313,7.436,3.569,2.322,2.672,0.593,3.492,0.531,1.19,0.345,5.373,1.344,1.852,10.24,8.532,3.969,1.851,9.007,0.573,1.962,0.558,2.784,22.397,1.838,4.242,0.122,2.362,4.161,0.699,0.641
2019-01-07,3.935,2.024,2.341,13.564,3.347,2.169,0.296,0.624,7.993,4.957,2.857,0.978,9.08,6.18,1.848,2.176,8.885,4.258,2.471,0.353,8.069,3.606,2.234,2.868,0.64,3.952,0.533,1.208,0.384,6.313,1.424,1.884,12.017,9.107,3.998,2.026,10.2,0.639,2.074,0.571,2.825,23.165,1.949,4.771,0.148,2.524,4.317,0.761,0.675
2019-01-08,4.004,2.074,2.418,13.884,3.445,2.057,0.261,0.622,8.57,5.013,3.059,1.041,9.595,6.072,2.056,2.062,9.049,3.991,2.293,0.35,7.793,4.024,2.552,2.904,0.656,3.83,0.577,1.266,0.379,5.901,1.421,1.908,10.94,8.308,4.211,2.067,9.765,0.626,2.082,0.602,2.664,23.474,1.947,4.62,0.134,2.626,4.544,0.71,0.693
2019-01-09,4.117,2.219,2.48,13.808,3.468,2.005,0.276,0.628,7.949,5.316,3.359,0.988,11.383,7.168,2.216,2.599,9.073,3.706,2.375,0.332,8.757,4.419,3.022,2.995,0.633,4.012,0.605,1.37,0.366,5.974,1.409,1.887,11.01,10.056,4.292,2.023,10.084,0.612,2.074,0.645,3.332,23.584,1.912,4.766,0.123,2.507,5.114,0.828,0.683
2019-01-10,4.28,2.313,2.53,14.005,3.367,2.147,0.319,0.645,5.292,5.972,3.343,0.966,11.531,7.353,2.253,2.822,9.245,4.059,2.626,0.346,9.158,4.365,3.174,3.1,0.611,4.57,0.595,1.373,0.381,6.438,1.398,1.916,12.041,10.64,4.314,2.004,10.67,0.638,2.237,0.634,3.766,24.03,1.929,5.161,0.139,2.456,5.106,0.915,0.675
2019-01-11,4.161,2.291,2.379,13.965,3.427,2.251,0.326,0.643,5.951,5.723,3.177,0.976,10.832,7.051,2.18,3.565,9.173,4.364,2.649,0.361,9.08,4.098,3.03,3.019,0.621,4.428,0.58,1.312,0.391,6.747,1.391,1.909,12.715,10.308,4.288,2.006,10.813,0.649,2.222,0.605,3.483,23.721,1.961,5.075,0.157,2.476,4.81,0.877,0.681
2019-01-12,3.878,2.14,2.35,13.399,3.334,2.088,0.298,0.603,7.531,5.291,2.929,0.973,9.694,6.424,2.124,2.364,8.604,4.142,2.444,0.343,8.262,3.814,2.758,2.818,0.606,4.053,0.553,1.268,0.368,6.274,1.406,1.877,11.745,9.337,4.129,1.897,10.009,0.611,2.081,0.594,3.055,22.688,1.95,4.688,0.146,2.399,4.417,0.777,0.671
2019-01-13,3.68,2.073,2.376,12.802,3.339,2.026,0.28,0.581,8.109,4.94,2.871,0.976,9.338,6.185,2.144,2.185,8.345,4.003,2.322,0.334,7.983,3.583,2.697,2.703,0.601,3.855,0.527,1.26,0.36,5.845,1.382,1.852,11.293,8.846,4.111,1.853,9.48,0.598,2.056,0.57,2.914,22.733,1.968,4.516,0.141,2.381,4.29,0.743,0.667
2019-01-14,4.027,2.234,2.452,13.705,3.541,2.152,0.316,0.629,7.723,5.279,3.132,1.027,10.47,6.91,2.245,2.486,9.006,4.131,2.58,0.355,8.683,3.838,2.93,2.947,0.631,4.263,0.557,1.301,0.381,6.378,1.413,1.893,12.087,9.957,4.291,1.999,10.33,0.634,2.176,0.595,3.283,23.933,2.081,4.925,0.144,2.491,4.661,0.811,0.688
2019-01-15,4.139,2.26,2.502,14.219,3.52,2.15,0.323,0.642,6.11,5.486,3.092,1.045,10.335,6.96,2.252,2.538,9.215,4.124,2.631,0.353,8.56,3.919,2.979,3.019,0.635,4.233,0.578,1.319,0.381,6.482,1.402,1.914,12.037,10.33,4.326,2.095,10.515,0.637,2.17,0.62,3.307,24.141,2.041,4.981,0.139,2.57,4.586,0.836,0.691
2019-01-16,4.156,2.218,2.458,13.922,3.382,2.091,0.317,0.641,5.569,5.555,3.231,1.017,10.231,6.717,2.291,2.559,9.133,3.957,2.601,0.345,8.474,4.362,2.956,3.015,0.639,4.221,0.615,1.388,0.375,6.366,1.363,1.896,11.689,9.697,4.26,2.082,10.36,0.625,2.135,0.646,3.368,23.734,1.945,5.021,0.133,2.572,4.815,0.84,0.678
2019-01-17,4.182,2.139,2.497,13.801,3.419,2.185,0.321,0.648,6.229,5.523,3.186,0.974,10.287,6.866,2.252,2.525,9.146,4.274,2.633,0.366,9.024,4.359,2.833,3.026,0.65,4.306,0.6,1.358,0.392,6.532,1.398,1.912,12.315,10.189,4.242,2.043,10.657,0.647,2.163,0.627,3.303,23.65,1.903,5.056,0.154,2.522,4.856,0.835,0.679
2019-01-18,4.02,2.195,2.475,13.802,3.407,2.085,0.283,0.627,7.372,5.096,3.226,0.967,10.495,6.687,2.256,3.198,9.057,4.005,2.413,0.352,8.48,4.401,2.955,2.929,0.656,4.003,0.615,1.353,0.378,6.12,1.376,1.9,11.398,9.554,4.236,2.009,10.079,0.629,2.098,0.635,3.019,23.458,1.933,4.789,0.138,2.453,4.951,0.784,0.681
2019-01-19,3.768,2.069,2.377,12.978,3.377,2.01,0.284,0.595,8.011,4.701,3.17,0.939,9.845,6.407,2.335,2.21,8.554,3.867,2.366,0.336,8.567,4.302,2.847,2.741,0.616,3.732,0.595,1.408,0.361,5.968,1.407,1.859,11.514,9.16,4.195,1.852,9.717,0.594,1.971,0.642,2.751,22.841,1.931,4.578,0.142,2.362,4.702,0.74,0.674
2019-01-20,3.765,2.222,2.45,12.186,3.13,1.989,0.257,0.569,7.352,4.867,3.249,0.889,10.572,6.872,2.363,2.447,8.424,3.858,2.195,0.336,8.807,4.272,3.243,2.77,0.594,3.502,0.577,1.38,0.361,5.534,1.35,1.82,10.933,9.829,4.204,1.833,9.43,0.587,1.961,0.615,3.239,22.953,1.798,4.351,0.136,2.367,4.808,0.764,0.64
