Node,Day,Value
AL,1,-999.0
AZ,1,-999.0
AR,1,-999.0
CA,1,-999.0
CO,1,-999.0
CT,1,-999.0
DC,1,-999.0
DE,1,-999.0
FL,1,-999.0
GA,1,-999.0
ID,1,-999.0
IL,1,-999.0
IN,1,-999.0
IA,1,-999.0
KS,1,-999.0
KY,1,-999.0
LA,1,-999.0
ME,1,-999.0
MD,1,-999.0
MA,1,-999.0
MI,1,-999.0
MN,1,-999.0
MS,1,-999.0
MO,1,-999.0
MT,1,-999.0
NE,1,-999.0
NV,1,-999.0
NH,1,-999.0
NJ,1,-999.0
NM,1,-999.0
NY,1,-999.0
NC,1,-999.0
ND,1,-999.0
OH,1,-999.0
OK,1,-999.0
OR,1,-999.0
PA,1,-999.0
RI,1,-999.0
SC,1,-999.0
SD,1,-999.0
TN,1,-999.0
TX,1,-999.0
UT,1,-999.0
VA,1,-999.0
VT,1,-999.0
WA,1,-999.0
WV,1,-999.0
WI,1,-999.0
WY,1,-999.0
ME_CN_E,1,-999.0
NH_CN_E,1,-999.0
VT_CN_E,1,-999.0
NY_CN_E,1,-999.0
MI_CN_E,1,-999.0
MN_CN_W,1,-999.0
ND_CN_W,1,-999.0
MT_CN_W,1,-999.0
ID_CN_W,1,-999.0
WA_CN_W,1,-999.0
TX_MX_NE,1,-999.0
AZ_MX_NW,1,-999.0
CA_MX_NW,1,-999.0
TX_MX_SS,1,-999.0
MX_NE,1,-999.0
MX_NW,1,-999.0
MX_IW,1,-999.0
MX_CE,1,-999.0
MX_SS,1,-999.0
CN_E,1,-999.0
CN_W,1,-999.0
AL,2,-999.0
AZ,2,-999.0
AR,2,-999.0
CA,2,-999.0
CO,2,-999.0
CT,2,-999.0
DC,2,-999.0
DE,2,-999.0
FL,2,-999.0
GA,2,-999.0
ID,2,-999.0
IL,2,-999.0
IN,2,-999.0
IA,2,-999.0
KS,2,-999.0
KY,2,-999.0
LA,2,-999.0
ME,2,-999.0
MD,2,-999.0
MA,2,-999.0
MI,2,-999.0
MN,2,-999.0
MS,2,-999.0
MO,2,-999.0
MT,2,-999.0
NE,2,-999.0
NV,2,-999.0
NH,2,-999.0
NJ,2,-999.0
NM,2,-999.0
NY,2,-999.0
NC,2,-999.0
ND,2,-999.0
OH,2,-999.0
OK,2,-999.0
OR,2,-999.0
PA,2,-999.0
RI,2,-999.0
SC,2,-999.0
SD,2,-999.0
TN,2,-999.0
TX,2,-999.0
UT,2,-999.0
VA,2,-999.0
VT,2,-999.0
WA,2,-999.0
WV,2,-999.0
WI,2,-999.0
WY,2,-999.0
ME_CN_E,2,-999.0
NH_CN_E,2,-999.0
VT_CN_E,2,-999.0
NY_CN_E,2,-999.0
MI_CN_E,2,-999.0
MN_CN_W,2,-999.0
